hand,climb_index,move_index,start_time,end_time,climb,on_hold,duration
left,0,0,2021-02-25 13:45:57.460000038+00:00,2021-02-25 13:45:58.559999943+00:00,0,0.440000057220459,1.099999905
right,0,0,2021-02-25 13:46:01.960000038+00:00,2021-02-25 13:46:02.960000038+00:00,0,4.940000057220459,1.0
left,0,1,2021-02-25 13:46:04.559999943+00:00,2021-02-25 13:46:05.859999895+00:00,0,6.0,1.299999952
right,0,1,2021-02-25 13:46:06.559999943+00:00,2021-02-25 13:46:07.559999943+00:00,0,3.5999999046325684,1.0
left,0,2,2021-02-25 13:46:08.660000086+00:00,2021-02-25 13:46:09.559999943+00:00,0,2.8000001907348633,0.8999998570000001
right,0,2,2021-02-25 13:46:10.059999943+00:00,2021-02-25 13:46:11.059999943+00:00,0,2.5,1.0
left,0,3,2021-02-25 13:46:13.759999990+00:00,2021-02-25 13:46:14.960000038+00:00,0,4.200000047683716,1.2000000480000002
right,0,3,2021-02-25 13:46:14.160000086+00:00,2021-02-25 13:46:15.859999895+00:00,0,3.1000001430511475,1.6999998090000001
right,0,4,2021-02-25 13:46:16.259999990+00:00,2021-02-25 13:46:17.460000038+00:00,0,0.40000009536743164,1.2000000480000002
left,0,4,2021-02-25 13:46:19.759999990+00:00,2021-02-25 13:46:21.059999943+00:00,0,4.799999952316284,1.2999999530000002
right,0,5,2021-02-25 13:46:21.759999990+00:00,2021-02-25 13:46:22.859999895+00:00,0,4.299999952316284,1.099999905
left,0,5,2021-02-25 13:46:26.859999895+00:00,2021-02-25 13:46:28.160000086+00:00,0,5.799999952316284,1.300000191
right,0,6,2021-02-25 13:46:28.160000086+00:00,2021-02-25 13:46:29.160000086+00:00,0,5.300000190734863,1.0
right,0,7,2021-02-25 13:46:33.460000038+00:00,2021-02-25 13:46:34.259999990+00:00,0,4.299999952316284,0.7999999520000001
left,0,6,2021-02-25 13:46:34.960000038+00:00,2021-02-25 13:46:35.559999943+00:00,0,6.799999952316284,0.599999905
right,0,8,2021-02-25 13:46:35.059999943+00:00,2021-02-25 13:46:35.559999943+00:00,0,0.7999999523162842,0.5
right,0,9,2021-02-25 13:46:43.759999990+00:00,2021-02-25 13:46:44.859999895+00:00,0,8.200000047683716,1.099999905
left,0,7,2021-02-25 13:46:46.359999895+00:00,2021-02-25 13:46:47.460000038+00:00,0,10.799999952316284,1.1000001430000002
right,0,10,2021-02-25 13:46:48.559999943+00:00,2021-02-25 13:46:49.759999990+00:00,0,3.700000047683716,1.200000047
left,0,8,2021-02-25 13:46:51.059999943+00:00,2021-02-25 13:46:52.460000038+00:00,0,3.5999999046325684,1.400000095
left,0,9,2021-02-25 13:46:57.359999895+00:00,2021-02-25 13:46:58.460000038+00:00,0,4.8999998569488525,1.1000001430000002
right,0,11,2021-02-25 13:47:00.460000038+00:00,2021-02-25 13:47:01.359999895+00:00,0,10.700000047683716,0.8999998570000001
right,0,12,2021-02-25 13:47:09.660000086+00:00,2021-02-25 13:47:10.960000038+00:00,0,8.300000190734863,1.299999952
left,0,10,2021-02-25 13:47:16.059999943+00:00,2021-02-25 13:47:17.559999943+00:00,0,17.59999990463257,1.5
left,0,11,2021-02-25 13:47:18.160000086+00:00,2021-02-25 13:47:19.359999895+00:00,0,0.6000001430511475,1.1999998090000001
left,0,12,2021-02-25 13:47:21.359999895+00:00,2021-02-25 13:47:22.559999943+00:00,0,2.0,1.2000000480000002
right,0,13,2021-02-25 13:47:22.759999990+00:00,2021-02-25 13:47:24.059999943+00:00,0,11.799999952316284,1.2999999530000002
left,0,13,2021-02-25 13:47:29.759999990+00:00,2021-02-25 13:47:30.960000038+00:00,0,7.200000047683716,1.2000000480000002
left,0,14,2021-02-25 13:47:34.160000086+00:00,2021-02-25 13:47:35.259999990+00:00,0,3.200000047683716,1.0999999040000001
right,0,14,2021-02-25 13:47:35.859999895+00:00,2021-02-25 13:47:37.759999990+00:00,0,11.799999952316284,1.9000000950000002
right,0,15,2021-02-25 13:47:44.859999895+00:00,2021-02-25 13:47:46.460000038+00:00,0,7.099999904632568,1.6000001430000002
left,0,15,2021-02-25 13:47:47.259999990+00:00,2021-02-25 13:47:48.359999895+00:00,0,12.0,1.099999905
right,0,16,2021-02-25 13:47:49.859999895+00:00,2021-02-25 13:47:51.559999943+00:00,0,3.3999998569488525,1.7000000480000002
left,0,16,2021-02-25 13:47:53.160000086+00:00,2021-02-25 13:47:54.259999990+00:00,0,4.800000190734863,1.0999999040000001
right,0,17,2021-02-25 13:47:56.359999895+00:00,2021-02-25 13:47:57.559999943+00:00,0,4.799999952316284,1.2000000480000002
left,0,17,2021-02-25 13:47:58.960000038+00:00,2021-02-25 13:48:00.160000086+00:00,0,4.700000047683716,1.2000000480000002
right,0,18,2021-02-25 13:47:59.660000086+00:00,2021-02-25 13:48:01.359999895+00:00,0,2.1000001430511475,1.6999998090000001
right,0,19,2021-02-25 13:48:01.859999895+00:00,2021-02-25 13:48:03.259999990+00:00,0,0.5,1.400000095
right,0,20,2021-02-25 13:48:04.559999943+00:00,2021-02-25 13:48:05.559999943+00:00,0,1.2999999523162842,1.0
left,0,18,2021-02-25 13:48:08.259999990+00:00,2021-02-25 13:48:10.059999943+00:00,0,8.099999904632568,1.7999999530000002
right,0,21,2021-02-25 13:48:12.059999943+00:00,2021-02-25 13:48:13.259999990+00:00,0,6.5,1.200000047
left,0,19,2021-02-25 13:48:13.859999895+00:00,2021-02-25 13:48:14.960000038+00:00,0,3.799999952316284,1.1000001430000002
right,0,22,2021-02-25 13:48:16.059999943+00:00,2021-02-25 13:48:17.259999990+00:00,0,2.799999952316284,1.200000047
left,0,20,2021-02-25 13:48:28.259999990+00:00,2021-02-25 13:48:28.960000038+00:00,0,13.299999952316284,0.700000048
left,0,21,2021-02-25 13:48:36.559999943+00:00,2021-02-25 13:48:37.759999990+00:00,0,7.599999904632568,1.200000047
right,0,23,2021-02-25 13:48:40.359999895+00:00,2021-02-25 13:48:41.359999895+00:00,0,23.09999990463257,1.0
left,0,22,2021-02-25 13:48:44.160000086+00:00,2021-02-25 13:48:45.160000086+00:00,0,6.400000095367432,1.0
right,0,24,2021-02-25 13:48:58.359999895+00:00,2021-02-25 13:48:59.460000038+00:00,0,17.0,1.1000001430000002
left,0,23,2021-02-25 13:48:59.660000086+00:00,2021-02-25 13:49:01.160000086+00:00,0,14.5,1.5
right,0,25,2021-02-25 13:49:03.059999943+00:00,2021-02-25 13:49:04.759999990+00:00,0,3.5999999046325684,1.700000047
left,0,24,2021-02-25 13:49:14.660000086+00:00,2021-02-25 13:49:15.960000038+00:00,0,13.5,1.299999952
right,0,26,2021-02-25 13:49:21.160000086+00:00,2021-02-25 13:49:21.759999990+00:00,0,16.40000009536743,0.599999904
left,0,25,2021-02-25 13:49:26.759999990+00:00,2021-02-25 13:49:28.559999943+00:00,0,10.799999952316284,1.7999999530000002
right,0,27,2021-02-25 13:49:29.759999990+00:00,2021-02-25 13:49:31.259999990+00:00,0,8.0,1.5
right,0,28,2021-02-25 13:49:50.160000086+00:00,2021-02-25 13:49:51.559999943+00:00,0,18.90000009536743,1.399999857
right,0,29,2021-02-25 13:49:56.160000086+00:00,2021-02-25 13:49:57.460000038+00:00,0,4.6000001430511475,1.299999952
right,0,30,2021-02-25 13:49:58.460000038+00:00,2021-02-25 13:49:59.259999990+00:00,0,1.0,0.7999999520000001
